baseline_id,benchmark_id,mode,success,latency_s,scene_setup
genagents,DNQBV1_001,first_playable,True,6.204,这驿站里的灯油总是烧得太快，正如这戈壁滩上无尽的寒夜。我刚从前哨回来，马蹄踩在冻硬的沙地上，发出那种让人心慌的碎裂声。这已经是入冬后的第三场风暴了，补给线被埋在雪下，我们剩下的干粮只够撑到下周，而那批原本该在今天抵达的药材和信件，到现在也没
genagents,DNQBV1_002,first_playable,True,11.483,温室的玻璃裂纹又扩大了，那些老旧的密封胶在酸雨的侵蚀下早已失效。我得在天黑前把最后一桶过滤水倒进自动灌溉系统，但这已经是这个月的极限。剩下的那点儿抗生素和合成营养液，只够维持核心区的几株作物，如果明天的风暴摧毁了顶棚，我们这最后一点氧气来源
genagents,DNQBV1_004,first_playable,True,7.258,我正站在克隆体伦理庭的中央，周围是那些审视我的目光。作为一名研究生成式智能代理的计算机科学学者，我曾以为自己是在模拟社会，但现在，社会反过来将我置于了模拟的审判台上。委员会质疑的是我最新的研究成果——那些基于我过往行为模式、认知习惯和决策逻
genagents,DNQBV1_005,first_playable,True,5.636,月球基地，宁静海，勘探区 4 号。现在是事故发生后的第 42 小时。氧气循环系统的次级过滤网在刚才的震荡中彻底损毁，舱内二氧化碳浓度正在以每小时 0.8% 的速度攀升。我现在的处境很明确：备用供氧装置只能支撑 160 小时，而救援船从地月转
genagents,DNQBV1_007,first_playable,True,10.15,我的意识正运行在斯坦福服务器阵列的第7号虚拟切片中。这原本是我为了模拟社会演化而构建的沙盒，现在却成了我的囚笼，或者说——我的备份。遗嘱协议已经激活，我能感觉到我的记忆正在被压缩、截断，那些关于波士顿冬天的气味、关于小提琴琴弦颤动的触觉，正
genagents,DNQBV1_009,first_playable,False,0.0,
genagents,DNQBV1_013,first_playable,True,5.8,风在观测塔的钢架间尖啸，那不是北极常见的风声。它像某种受压的金属在哀鸣，又像某种被困在永冻土层下的东西在低语。这种频率……它不属于任何已知的气候现象。我已经把自己锁在实验室里三天了，咖啡机里只剩下焦苦的残渣。这里太安静了，安静到我能听见自己
genagents,DNQBV1_018,first_playable,True,21.789,这南京路的雨，下得真是没完没了，连带着电报局那台老旧的收报机，敲击声都显得比往常更加滞重。我盯着案头那张被水渍洇开的电文，那是昨夜从租界发出的最后一份急报，内容竟是一串毫无逻辑的乱码，可若按着家父教我的那套偏移密码重组，竟指向了那座早已废弃
genagents,DNQBV1_001,next_turn,True,6.281,我想先去仓库清点一下剩下的火药和引信，如果山口那边真出了事，那些东西或许能帮我点起示警的狼烟，或者至少在猛兽靠近时保命。接着，我想把那本从波士顿带来的旧画册翻出来，烧掉几页没什么用的草稿，给炉子加把火。这听起来有点荒唐，但我总觉得，如果不留
genagents,DNQBV1_001,next_turn,True,4.608,听，那是风刮过残垣的声音，还是有人在敲门？如果是商队，这会儿早该在避风处扎营了，没人会在这鬼天气里赶路。我判断现在最紧要的是先熄灭灯火，不能让外面的人——或者别的东西——发现这驿站里还有活人。行动优先级第一：把枪栓拉开，守住门口；第二：把那
