game_id,model_count,models,row_count,overall_score_mean,semantic_consistency_mean,subject_attribute_consistency_mean,spatial_consistency_mean,style_lighting_consistency_mean,detail_integrity_mean,confidence_mean
game_1776417898_zthbu3,3,"claude-sonnet-4-20250514,gemini-2.5-flash,gpt-4o",30,4.0667,4.2,4.1667,4.2,4.2333,4.1,0.7887
game_1776418186_406ktb,3,"claude-sonnet-4-20250514,gemini-2.5-flash,gpt-4o",12,4,4.25,4.0833,4.0833,4.3333,4,0.7767
game_1776418475_uho8y4,3,"claude-sonnet-4-20250514,gemini-2.5-flash,gpt-4o",30,4,4.1,4.1,4.1667,4.2667,4.0667,0.789
game_1776418746_kox2ae,3,"claude-sonnet-4-20250514,gemini-2.5-flash,gpt-4o",30,4,4.2667,4.0667,4.1,4.2333,4,0.783
game_1776419026_gflx4b,3,"claude-sonnet-4-20250514,gemini-2.5-flash,gpt-4o",30,3.9333,4.1,4.1333,4.1,4.2333,3.9667,0.7827
game_1776419299_05783f,3,"claude-sonnet-4-20250514,gemini-2.5-flash,gpt-4o",3,4,4.3333,4,4,4.3333,4,0.7667
game_1776419613_9xv3kl,3,"claude-sonnet-4-20250514,gemini-2.5-flash,gpt-4o",30,3.9333,4.1,4.0667,4.0333,4.2667,4,0.7853
game_1776419881_ts9erz,3,"claude-sonnet-4-20250514,gemini-2.5-flash,gpt-4o",30,4.1333,4.3333,4.1333,4.1333,4.3,4.1333,0.7923
game_1776420257_ds08b3,3,"claude-sonnet-4-20250514,gemini-2.5-flash,gpt-4o",6,4,4.1667,4.1667,4.1667,4.1667,4,0.78
game_1776420517_nejnnv,3,"claude-sonnet-4-20250514,gemini-2.5-flash,gpt-4o",30,4.0667,4.1333,4.1667,4.3,4.3333,4.0333,0.782
