baseline_id,benchmark_id,mode,success,latency_s,scene_setup,candidate_actions
light,DNQBV1_001,first_playable,True,2.844,- wackreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddreddredd__no_image__ __no_image__ __no_image__ __no_image__ __no_image__ __no_image__ __no_image__ __no_image__ __no_i,Ask the nearest character about 边陲驿站夜谈录. | Inspect the most suspicious detail in the scene. | Push the tension forward with a concrete decision.
light,DNQBV1_002,first_playable,True,0.292,must - have constraints,Ask the nearest character about 末日温室园丁. | Inspect the most suspicious detail in the scene. | Push the tension forward with a concrete decision.
light,DNQBV1_005,first_playable,True,0.264,llian bae bae,Ask the nearest character about 月球矿难七日. | Inspect the most suspicious detail in the scene. | Push the tension forward with a concrete decision.
light,DNQBV1_009,first_playable,True,0.254,generic generic generic,Ask the nearest character about 茶肆说书人. | Inspect the most suspicious detail in the scene. | Push the tension forward with a concrete decision.
light,DNQBV1_018,first_playable,True,0.268,generic generic,Ask the nearest character about 民国电报迷案. | Inspect the most suspicious detail in the scene. | Push the tension forward with a concrete decision.
light,DNQBV1_001,next_turn,True,3.436,""" . player action : ask the nearest character about pancreo_image___no_image__ __no_image__ __no_image__ ____no_image__ __no_image__ __no_image__ __no_image__ __no_image__ __no_image__ __no_image__ __no_image__ __no_image__ __no_image__ __no_image__ __no_image__ __no_image__ __no",Ask the nearest character about 边陲驿站夜谈录. | Inspect the most suspicious detail in the scene. | Push the tension forward with a concrete decision.
light,DNQBV1_002,next_turn,True,3.07,""" continues the same world , player identity reddreddreddreddreddbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbundbun",Ask the nearest character about 末日温室园丁. | Inspect the most suspicious detail in the scene. | Push the tension forward with a concrete decision.
light,DNQBV1_005,next_turn,True,0.496,""" continues the same interactive narrative . keep the same world , stakes . """,Ask the nearest character about 月球矿难七日. | Inspect the most suspicious detail in the scene. | Push the tension forward with a concrete decision.
light,DNQBV1_009,next_turn,True,0.507,""" continues the same interactive narrative . keep the same world , stakes . """,Ask the nearest character about 茶肆说书人. | Inspect the most suspicious detail in the scene. | Push the tension forward with a concrete decision.
light,DNQBV1_018,next_turn,True,0.529,""" continues the same interactive narrative . keep the same world , stakes . """,Ask the nearest character about 民国电报迷案. | Inspect the most suspicious detail in the scene. | Push the tension forward with a concrete decision.
