baseline_id,benchmark_id,mode,success,latency_s,source_story,scene_setup,candidate_actions
worldgeneration,DNQBV1_001,first_playable,True,0.002,C:\Users\zhang\Desktop\DN\experiments\external_baselines\worldgeneration\rule-based\binary_data\mystery\3_binary.txt,"Holmes receives a visit from Dr. Thorneycroft Huxtable, the founder and principal of a preparatory school called Priory School in Northern England.",Talk to Dr Thorneycroft Huxtable. | Inspect Him Look Disappearance One Pupils Ten. | Travel to Moor. | Search for the strongest clue in the area.
worldgeneration,DNQBV1_002,first_playable,True,0.001,C:\Users\zhang\Desktop\DN\experiments\external_baselines\worldgeneration\rule-based\binary_data\fairy\5_binary.txt,"Every night, their doors are securely locked by their father.",Talk to Doors. | Inspect Who Fail Within Set Time Limit. | Travel to Palace. | Search for the strongest clue in the area.
worldgeneration,DNQBV1_004,first_playable,True,0.003,C:\Users\zhang\Desktop\DN\experiments\external_baselines\worldgeneration\rule-based\binary_data\fairy\8_binary.txt,"At the beginning of the story, a queen sits sewing at an open window during a winter snowfall when she pricks her finger with her needle, causing three drops of red blood to drip onto the freshly fallen white snow on the black windowsill.",Talk to Three Drops Red Blood. | Inspect Three Drops Red Blood Drip Onto. | Travel to Open Window. | Search for the strongest clue in the area.
worldgeneration,DNQBV1_005,first_playable,True,0.001,C:\Users\zhang\Desktop\DN\experiments\external_baselines\worldgeneration\rule-based\binary_data\mystery\10_binary.txt,"Jabez Wilson, a London pawnbroker, comes to consult Sherlock Holmes and Doctor Watson.",Talk to Jabez Wilson. | Inspect Red Hair Which Has Distinct Flame. | Travel to Long Line Fellow Red - Headed. | Search for the strongest clue in the area.
worldgeneration,DNQBV1_007,first_playable,True,0.002,C:\Users\zhang\Desktop\DN\experiments\external_baselines\worldgeneration\rule-based\binary_data\mystery\5_binary.txt,"Lord Bellinger, the Prime Minister, and the Right Honourable Trelawney Hope, the Secretary of State for European Affairs, come to Holmes in the matter of a document stolen from Hope's dispatch box, which he kept at home in Whitehall Terrace when not at work.",Talk to Right Honourable Trelawney Hope. | Travel to Home. | Search for the strongest clue in the area.
worldgeneration,DNQBV1_009,first_playable,True,0.003,C:\Users\zhang\Desktop\DN\experiments\external_baselines\worldgeneration\rule-based\binary_data\mystery\6_binary.txt,"The story takes place in 1894, three years after the death of Sherlock Holmes.",Talk to Story. | Travel to London. | Search for the strongest clue in the area.
worldgeneration,DNQBV1_013,first_playable,True,0.002,C:\Users\zhang\Desktop\DN\experiments\external_baselines\worldgeneration\rule-based\binary_data\mystery\1_binary.txt,Watson takes Holmes to a friend's estate near Reigate in Surrey to rest after a rather strenuous case in France.,Talk to Watson. | Inspect Rest Rather Strenuous Case France. | Travel to Here. | Search for the strongest clue in the area.
worldgeneration,DNQBV1_018,first_playable,True,0.002,C:\Users\zhang\Desktop\DN\experiments\external_baselines\worldgeneration\rule-based\binary_data\mystery\5_binary.txt,"Lord Bellinger, the Prime Minister, and the Right Honourable Trelawney Hope, the Secretary of State for European Affairs, come to Holmes in the matter of a document stolen from Hope's dispatch box, which he kept at home in Whitehall Terrace when not at work.",Talk to Right Honourable Trelawney Hope. | Travel to Home. | Search for the strongest clue in the area.
worldgeneration,DNQBV1_001,next_turn,True,0.0,C:\Users\zhang\Desktop\DN\experiments\external_baselines\worldgeneration\rule-based\binary_data\mystery\3_binary.txt,"Holmes receives a visit from Dr. Thorneycroft Huxtable, the founder and principal of a preparatory school called Priory School in Northern England.",Talk to Dr Thorneycroft Huxtable. | Inspect Him Look Disappearance One Pupils Ten. | Travel to Moor. | Search for the strongest clue in the area.
worldgeneration,DNQBV1_002,next_turn,True,0.0,C:\Users\zhang\Desktop\DN\experiments\external_baselines\worldgeneration\rule-based\binary_data\fairy\5_binary.txt,"Every night, their doors are securely locked by their father.",Talk to Doors. | Inspect Who Fail Within Set Time Limit. | Travel to Palace. | Search for the strongest clue in the area.
worldgeneration,DNQBV1_004,next_turn,True,0.0,C:\Users\zhang\Desktop\DN\experiments\external_baselines\worldgeneration\rule-based\binary_data\fairy\8_binary.txt,"At the beginning of the story, a queen sits sewing at an open window during a winter snowfall when she pricks her finger with her needle, causing three drops of red blood to drip onto the freshly fallen white snow on the black windowsill.",Talk to Three Drops Red Blood. | Inspect Three Drops Red Blood Drip Onto. | Travel to Open Window. | Search for the strongest clue in the area.
worldgeneration,DNQBV1_005,next_turn,True,0.0,C:\Users\zhang\Desktop\DN\experiments\external_baselines\worldgeneration\rule-based\binary_data\mystery\10_binary.txt,"Jabez Wilson, a London pawnbroker, comes to consult Sherlock Holmes and Doctor Watson.",Talk to Jabez Wilson. | Inspect Red Hair Which Has Distinct Flame. | Travel to Long Line Fellow Red - Headed. | Search for the strongest clue in the area.
worldgeneration,DNQBV1_007,next_turn,True,0.0,C:\Users\zhang\Desktop\DN\experiments\external_baselines\worldgeneration\rule-based\binary_data\mystery\5_binary.txt,"Lord Bellinger, the Prime Minister, and the Right Honourable Trelawney Hope, the Secretary of State for European Affairs, come to Holmes in the matter of a document stolen from Hope's dispatch box, which he kept at home in Whitehall Terrace when not at work.",Talk to Right Honourable Trelawney Hope. | Travel to Home. | Search for the strongest clue in the area.
worldgeneration,DNQBV1_009,next_turn,True,0.0,C:\Users\zhang\Desktop\DN\experiments\external_baselines\worldgeneration\rule-based\binary_data\mystery\6_binary.txt,"The story takes place in 1894, three years after the death of Sherlock Holmes.",Talk to Story. | Travel to London. | Search for the strongest clue in the area.
