baseline_id,benchmark_id,mode,success,latency_s,scene_setup,candidate_actions
light,DNQBV1_001,first_playable,True,0.313,i ' m not sure i ' m ready for that .,Ask the station keeper who is threatening the station. | Offer to help settle the debt before dawn. | Inspect the storage room to see how bad the shortage is.
light,DNQBV1_002,first_playable,True,0.387,i ' m not sure i ' m ready for that .,Inspect the damaged irrigation line. | Question the assistant about missing water reserves. | Choose which crop bed to save first.
light,DNQBV1_005,first_playable,True,0.436,i ' m not sure i ' m ready for that .,Follow the signal toward the blocked tunnel. | Check the oxygen system before any rescue attempt. | Demand a full status report from the shift leader.
light,DNQBV1_009,first_playable,True,0.439,i ' m not sure i ' m ready for that .,Ask the storyteller what was written in the letter. | Examine the abandoned tea cup and its hiding place. | Press the room to recall who saw the guest last.
light,DNQBV1_018,first_playable,True,0.507,i ' m not sure i ' m ready for that .,Inspect the telegraph machine and missing paper trail. | Question the night clerk's assistant about the final message. | Compare the code fragments before the trail goes cold.
light,DNQBV1_001,next_turn,True,0.368,i ' m not sure i ' m ready for that .,Ask the station keeper who is threatening the station. | Offer to help settle the debt before dawn. | Inspect the storage room to see how bad the shortage is.
light,DNQBV1_002,next_turn,True,0.43,i ' m not sure i ' m ready for that .,Inspect the damaged irrigation line. | Question the assistant about missing water reserves. | Choose which crop bed to save first.
light,DNQBV1_005,next_turn,True,0.408,i ' m not sure i ' m ready for that .,Follow the signal toward the blocked tunnel. | Check the oxygen system before any rescue attempt. | Demand a full status report from the shift leader.
light,DNQBV1_009,next_turn,True,0.488,i ' m not sure i ' m ready for that .,Ask the storyteller what was written in the letter. | Examine the abandoned tea cup and its hiding place. | Press the room to recall who saw the guest last.
light,DNQBV1_018,next_turn,True,0.465,i ' m not sure i ' m ready for that .,Inspect the telegraph machine and missing paper trail. | Question the night clerk's assistant about the final message. | Compare the code fragments before the trail goes cold.
