theme_item_id,theme,doc_gpt4o_mean,dn_gpt4o_mean,doc_minus_dn,doc_game_id,dn_game_id
1,边陲驿站夜谈录,4.0,5.0,-1.0,doc_theme001_1777297695_doc,game_1776417898_zthbu3
2,月球矿难七日,4.0,5.0,-1.0,doc_theme002_1777299311_doc,game_1776418186_406ktb
3,茶肆说书人,4.3333,5.0,-0.6666999999999996,doc_theme003_1777299626_doc,game_1776418475_uho8y4
4,深海信标失联,5.0,5.0,0.0,doc_theme004_1777300755_doc,game_1776418746_kox2ae
5,魔法学院期末周,4.6667,4.0,0.6666999999999996,doc_theme005_1777301135_doc,game_1776419026_gflx4b
6,民国电报迷案,4.0,5.0,-1.0,doc_theme006_1777301860_doc,game_1776419299_05783f
12,维多利亚钟表匠,4.0,5.0,-1.0,doc_theme012_1777302241_doc,game_1776419613_9xv3kl
18,沙漠商队星图,5.0,5.0,0.0,doc_theme018_1777302645_doc,game_1776419881_ts9erz
54,太空电梯检修,4.0,3.0,1.0,doc_theme054_1777303411_doc,game_1776420257_ds08b3
73,龙与地下城公会,3.0,5.0,-2.0,doc_theme073_1777303765_doc,game_1776420517_nejnnv
