baseline_average,baseline_character_consistency,baseline_detail_completeness,baseline_image_path,baseline_name,baseline_overall_quality,baseline_scene_object_fidelity,baseline_semantic_alignment,baseline_style_lighting_consistency,delta_baseline_minus_dn,dn_average,dn_character_consistency,dn_detail_completeness,dn_overall_quality,dn_reference_image,dn_scene_object_fidelity,dn_semantic_alignment,dn_style_lighting_consistency,game_id,id,input_text_path,segment_index,summary,theme_id,winner
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776417898_zthbu3/seg_001.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_001.png,5,5,5,game_1776417898_zthbu3,game_1776417898_zthbu3/seg_001,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_001.json,1,DN matches prompt far better than baseline,theme_001_game_1776417898_zthbu3,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776417898_zthbu3/seg_002.png,sdm_v2,1,1,1,1,-3.8333,4.8333,5,4,5,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_002.png,5,5,5,game_1776417898_zthbu3,game_1776417898_zthbu3/seg_002,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_002.json,2,DN matches prompt far better than baseline,theme_001_game_1776417898_zthbu3,dn
1.5,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776417898_zthbu3/seg_003.png,sdm_v2,2,2,1,2,-3.3333,4.8333,5,4,5,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_003.png,5,5,5,game_1776417898_zthbu3,game_1776417898_zthbu3/seg_003,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_003.json,3,"DN fits prompt, baseline lacks key required elements",theme_001_game_1776417898_zthbu3,dn
1.3333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776417898_zthbu3/seg_004.png,sdm_v2,1,2,1,2,-3.6667,5,5,5,5,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_004.png,5,5,5,game_1776417898_zthbu3,game_1776417898_zthbu3/seg_004,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_004.json,4,"DN meets prompt, baseline lacks required characters",theme_001_game_1776417898_zthbu3,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776417898_zthbu3/seg_005.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_005.png,5,5,5,game_1776417898_zthbu3,game_1776417898_zthbu3/seg_005,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_005.json,5,"DN matches prompt, baseline is fully mismatched",theme_001_game_1776417898_zthbu3,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776417898_zthbu3/seg_006.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_006.png,5,5,5,game_1776417898_zthbu3,game_1776417898_zthbu3/seg_006,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_006.json,6,"DN matches prompt perfectly, baseline fails fully",theme_001_game_1776417898_zthbu3,dn
1.6667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776417898_zthbu3/seg_007.png,sdm_v2,2,2,2,2,-3.3333,5,5,5,5,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_007.png,5,5,5,game_1776417898_zthbu3,game_1776417898_zthbu3/seg_007,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_007.json,7,DN matches the prompt far better than baseline,theme_001_game_1776417898_zthbu3,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776417898_zthbu3/seg_008.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_008.png,5,5,5,game_1776417898_zthbu3,game_1776417898_zthbu3/seg_008,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_008.json,8,"DN matches prompt, baseline lacks key required elements",theme_001_game_1776417898_zthbu3,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776417898_zthbu3/seg_009.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_009.png,5,5,5,game_1776417898_zthbu3,game_1776417898_zthbu3/seg_009,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_009.json,9,"DN matches prompt, baseline is fully mismatched",theme_001_game_1776417898_zthbu3,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776417898_zthbu3/seg_010.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_010.png,5,5,5,game_1776417898_zthbu3,game_1776417898_zthbu3/seg_010,DN-experiment-2.0/theme_001_game_1776417898_zthbu3/game_1776417898_zthbu3_010.json,10,"DN matches prompt, baseline is completely mismatched",theme_001_game_1776417898_zthbu3,dn
